***SESSION HEADER***
{
    "Participant": "0",
    "Timestamp": "17-19-59-02-04-2026"
}
---SESSION HEADER---
time; camera.position; camera.direction; hand.position; hand.direction; input; fps
126.749211; (156.419, 28.380, 20.034); (22.448, 62.941, 357.468); (156.757, 27.958, 20.081); (357.106, 62.284, 342.735); []; 8640966225179970000.000000
126.751726; (156.419, 28.380, 20.034); (22.448, 62.941, 357.468); (156.757, 27.958, 20.081); (357.106, 62.284, 342.735); []; 8640966225179970000.000000
126.794416; (156.419, 28.381, 20.033); (22.219, 62.832, 357.349); (156.755, 27.960, 20.082); (356.645, 61.308, 343.225); []; 101.383255
126.797036; (156.419, 28.381, 20.033); (22.219, 62.832, 357.349); (156.755, 27.960, 20.082); (356.645, 61.308, 343.225); []; 101.383255
126.840486; (156.418, 28.382, 20.032); (21.801, 62.550, 357.280); (156.755, 27.962, 20.079); (356.939, 62.516, 342.588); []; 58.716011
126.842537; (156.418, 28.382, 20.032); (21.801, 62.550, 357.280); (156.755, 27.962, 20.079); (356.939, 62.516, 342.588); []; 58.716011
126.843559; (156.418, 28.382, 20.032); (21.801, 62.550, 357.280); (156.755, 27.962, 20.079); (356.939, 62.516, 342.588); []; 58.716011
126.884581; (156.417, 28.382, 20.032); (21.754, 62.473, 357.312); (156.754, 27.961, 20.080); (356.957, 61.550, 343.240); []; 43.952362
126.927381; (156.417, 28.382, 20.031); (21.779, 62.385, 357.380); (156.754, 27.960, 20.079); (357.514, 61.719, 343.016); []; 37.181572
126.928889; (156.417, 28.382, 20.031); (21.779, 62.385, 357.380); (156.754, 27.960, 20.079); (357.514, 61.719, 343.016); []; 37.181572
126.970548; (156.416, 28.381, 20.030); (21.860, 62.284, 357.656); (156.755, 27.960, 20.077); (357.935, 62.633, 342.689); []; 33.175247
126.972560; (156.416, 28.381, 20.030); (21.860, 62.284, 357.656); (156.755, 27.960, 20.077); (357.935, 62.633, 342.689); []; 33.175247
127.014928; (156.414, 28.382, 20.030); (21.688, 61.711, 357.905); (156.754, 27.961, 20.077); (357.675, 62.621, 343.023); []; 30.468813
127.016451; (156.414, 28.382, 20.030); (21.688, 61.711, 357.905); (156.754, 27.961, 20.077); (357.675, 62.621, 343.023); []; 30.468813
127.058988; (156.412, 28.382, 20.031); (21.364, 60.779, 358.049); (156.752, 27.961, 20.079); (357.735, 62.050, 344.194); []; 28.482874
127.060695; (156.412, 28.382, 20.031); (21.364, 60.779, 358.049); (156.752, 27.961, 20.079); (357.735, 62.050, 344.194); []; 28.482874
127.103425; (156.410, 28.383, 20.033); (21.133, 58.997, 358.354); (156.748, 27.961, 20.084); (358.025, 59.679, 346.808); []; 27.143147
127.104427; (156.410, 28.383, 20.033); (21.133, 58.997, 358.354); (156.748, 27.961, 20.084); (358.025, 59.679, 346.808); []; 27.143147
127.147115; (156.404, 28.383, 20.042); (20.729, 51.850, 358.424); (156.728, 27.962, 20.108); (358.029, 51.543, 353.096); []; 26.063694
127.148622; (156.404, 28.383, 20.042); (20.729, 51.850, 358.424); (156.728, 27.962, 20.108); (358.029, 51.543, 353.096); []; 26.063694
127.191974; (156.401, 28.384, 20.047); (20.648, 47.155, 358.806); (156.711, 27.961, 20.126); (358.361, 45.931, 353.664); []; 25.332182
127.192976; (156.401, 28.384, 20.047); (20.648, 47.155, 358.806); (156.711, 27.961, 20.126); (358.361, 45.931, 353.664); []; 25.332182
127.235807; (156.397, 28.385, 20.054); (20.845, 40.345, 359.973); (156.686, 27.962, 20.150); (357.842, 37.464, 355.144); []; 24.642826
127.237820; (156.397, 28.385, 20.054); (20.845, 40.345, 359.973); (156.686, 27.962, 20.150); (357.842, 37.464, 355.144); []; 24.642826
127.280995; (156.384, 28.385, 20.070); (20.915, 23.129, 359.973); (156.623, 27.966, 20.194); (357.631, 19.110, 347.319); []; 24.199453
127.282506; (156.384, 28.385, 20.070); (20.915, 23.129, 359.973); (156.623, 27.966, 20.194); (357.631, 19.110, 347.319); []; 24.199453
127.327289; (156.377, 28.385, 20.074); (21.070, 14.324, 359.196); (156.580, 27.968, 20.215); (357.319, 7.377, 348.563); []; 23.849651
127.328299; (156.377, 28.385, 20.074); (21.070, 14.324, 359.196); (156.580, 27.968, 20.215); (357.319, 7.377, 348.563); []; 23.849651
127.371729; (156.369, 28.386, 20.077); (20.925, 5.820, 358.618); (156.536, 27.967, 20.232); (358.574, 356.596, 347.703); [R_PadTouch]; 23.374006
127.373754; (156.369, 28.386, 20.077); (20.925, 5.820, 358.618); (156.536, 27.967, 20.232); (358.574, 356.596, 347.703); [R_PadTouch]; 23.374006
127.415851; (156.356, 28.389, 20.074); (19.107, 350.137, 356.661); (156.451, 27.968, 20.253); (359.867, 338.141, 345.933); [R_PadTouch]; 23.173588
127.417363; (156.356, 28.389, 20.074); (19.107, 350.137, 356.661); (156.451, 27.968, 20.253); (359.867, 338.141, 345.933); [R_PadTouch]; 23.173588
